Name	ID	F635 Median	B635 Median	Flags	orig_row_number	ratio_naive	zscore_naive	zscore_mean_naive
FLI1	IOH3894	76.0	80.0	0	121	0.95	-1.27238292185	-0.95921846631
FLI1	IOH3894	77.0	78.0	0	122	0.987179487179	-0.646054010768	-0.95921846631
TNFAIP8L1	IOH10838	82.0	78.0	0	123	1.05128205128	0.433823422134	0.541811165425
TNFAIP8L1	IOH10838	83.0	78.0	0	124	1.0641025641	0.649798908715	0.541811165425
GPRC5A	IOH3875	81.0	80.0	0	125	1.0125	-0.219502424772	-0.648753704351
GPRC5A	IOH3875	75.0	78.0	0	126	0.961538461538	-1.07800498393	-0.648753704351
EBI3	IOH11371	80.0	75.0	0	127	1.06666666667	0.692994006031	-0.084517745659
EBI3	IOH11371	76.0	78.0	0	128	0.974358974359	-0.862029497349	-0.084517745659
SGCD	IOH14474	85.0	86.0	0	129	0.988372093023	-0.625963267831	-1.11567512694
SGCD	IOH14474	80.0	86.0	0	130	0.93023255814	-1.60538698604	-1.11567512694
C10orf57	IOH12854	88.0	86.0	0	131	1.02325581395	-0.0383090369022	-0.136251408724
C10orf57	IOH12854	87.0	86.0	0	132	1.01162790698	-0.234193780545	-0.136251408724
ND	IOH14420	90.0	86.0	0	133	1.04651162791	0.353460450383	0.367620793297
ND	IOH14420	87.0	83.0	0	134	1.04819277108	0.381781136211	0.367620793297
WISP2	IOH12154	90.0	81.0	0	135	1.11111111111	1.44170902618	1.01322753874
WISP2	IOH12154	88.0	83.0	0	136	1.06024096386	0.584746051311	1.01322753874
FLJ20035	IOH14232	79.0	79.0	0	137	1.0	-0.430078524188	-0.430078524188
FLJ20035	IOH14232	78.0	78.0	0	138	1.0	-0.430078524188	-0.430078524188
C10orf97	IOH12851	74.0	80.0	0	139	0.925	-1.69353512068	-1.06180682244
C10orf97	IOH12851	80.0	80.0	0	140	1.0	-0.430078524188	-1.06180682244
TTR	IOH14065	82.0	82.0	0	141	1.0	-0.430078524188	-1.03897326949
TTR	IOH14065	77.0	83.0	0	142	0.927710843373	-1.64786801479	-1.03897326949
MIB1	IOH12998	81.0	83.0	0	143	0.975903614458	-0.836008354387	-0.841019833773
MIB1	IOH12998	79.0	81.0	0	144	0.975308641975	-0.846031313158	-0.841019833773
LETM2	IOH22564	80.0	77.0	0	145	1.03896103896	0.226262564901	0.977969453259
LETM2	IOH22564	88.0	78.0	0	146	1.12820512821	1.72967634162	0.977969453259
BOLL	IOH21808	81.0	78.0	0	147	1.03846153846	0.217847935554	-0.646054010768
BOLL	IOH21808	73.0	78.0	0	148	0.935897435897	-1.50995595709	-0.646054010768
GAD1	IOH5444	76.0	77.0	0	149	0.987012987013	-0.648858887217	-0.653293624306
GAD1	IOH5444	73.0	74.0	0	150	0.986486486486	-0.657728361394	-0.653293624306
KIF6	IOH10936	78.0	74.0	0	151	1.05405405405	0.480520824638	-0.286743441502
KIF6	IOH10936	78.0	81.0	0	152	0.962962962963	-1.05400770764	-0.286743441502
TIMP4	IOH10243	83.0	80.0	0	153	1.0375	0.20164977406	0.209748854807
TIMP4	IOH10243	81.0	78.0	0	154	1.03846153846	0.217847935554	0.209748854807
RPL7A	IOH5681	86.0	79.0	0	155	1.08860759494	1.06261281344	0.100291658048
RPL7A	IOH5681	76.0	78.0	0	156	0.974358974359	-0.862029497349	0.100291658048
C1QA	IOH23091	79.0	79.0	0	157	1.0	-0.430078524188	-0.101907979643
C1QA	IOH23091	80.0	77.0	0	158	1.03896103896	0.226262564901	-0.101907979643
FLJ31659	IOH12172	79.0	75.0	0	159	1.05333333333	0.468379499987	0.573298117942
FLJ31659	IOH12172	81.0	76.0	0	160	1.06578947368	0.678216735897	0.573298117942
	IOH22829	94.0	89.0	0	161	1.05617977528	0.51633091139	0.043126193601
	IOH22829	90.0	90.0	0	162	1.0	-0.430078524188	0.043126193601
RNGTT	IOH21472	88.0	82.0	0	163	1.07317073171	0.80256205776	-0.0191983302053
RNGTT	IOH21472	80.0	82.0	0	164	0.975609756098	-0.84095871817	-0.0191983302053
TNP1	IOH22528	87.0	86.0	0	165	1.01162790698	-0.234193780545	-0.833507817643
TNP1	IOH22528	79.0	84.0	0	166	0.940476190476	-1.43282185474	-0.833507817643
FLRT1	IOH21494	82.0	83.0	0	167	0.987951807229	-0.633043439288	-0.531560981738
FLRT1	IOH21494	79.0	79.0	0	168	1.0	-0.430078524188	-0.531560981738
TEAD1	IOH22850	80.0	79.0	0	169	1.01265822785	-0.216836904526	-0.110216094695
TEAD1	IOH22850	81.0	79.0	0	170	1.0253164557	-0.00359528486423	-0.110216094695
ND	IOH22225	88.0	80.0	0	171	1.1	1.25453027114	0.833378072308
ND	IOH22225	84.0	80.0	0	172	1.05	0.412225873476	0.833378072308
MT1F	IOH23126	97.0	82.0	0	173	1.18292682927	2.65152293068	1.52160239723
MT1F	IOH23126	86.0	82.0	0	174	1.0487804878	0.391681863777	1.52160239723
NDUFS1	IOH22239	83.0	80.0	0	175	1.0375	0.20164977406	-0.114214375064
NDUFS1	IOH22239	81.0	81.0	0	176	1.0	-0.430078524188	-0.114214375064
ART5	IOH12508	82.0	76.0	0	177	1.07894736842	0.899875787913	-0.305040084589
ART5	IOH12508	73.0	78.0	0	178	0.935897435897	-1.50995595709	-0.305040084589
ALDOB	IOH23147	76.0	77.0	0	179	0.987012987013	-0.648858887217	0.0296558873136
ALDOB	IOH23147	79.0	74.0	0	180	1.06756756757	0.708170661845	0.0296558873136
ND	IOH13821	78.0	76.0	0	181	1.02631578947	0.0132395798459	-0.264039680073
ND	IOH13821	78.0	77.0	0	182	1.01298701299	-0.211298161158	-0.264039680073
CCDC44	IOH6606	80.0	77.0	0	183	1.03896103896	0.226262564901	0.617132359826
CCDC44	IOH6606	89.0	82.0	0	184	1.08536585366	1.00800215475	0.617132359826
