Name	ID	F635 Median	B635 Median	Flags	row_number_orig	idname	ratio_naive	zscore_naive	zscore_mean_naive
CYP2D6	IOH61947	102.0	84.0	0	5448	IOH61947_CYP2D6	1.21428571429	3.1797974658	1.47057587963
MRPL44	IOH13325	119.0	97.0	0	5633	IOH13325_MRPL44	1.22680412371	3.39068369202	2.59764515225
LFNG	IOH11293	117.0	98.0	0	5639	IOH11293_LFNG	1.19387755102	2.83599975247	2.09385949629
IGHG1	IOH12297	119.0	96.0	0	5648	IOH12297_IGHG1	1.23958333333	3.60596338129	2.27553785521
C9orf16	IOH5161	114.0	96.0	0	5706	IOH5161_C9orf16	1.1875	2.72856296705	2.36493929023
CBR3	IOH5424	117.0	96.0	0	5707	IOH5424_CBR3	1.21875	3.25500321559	2.87360262736
MOBKL2A	IOH10112	132.0	109.0	0	5758	IOH10112_MOBKL2A	1.21100917431	3.12460058522	2.51712824949
MT1X	IOH28691	111.0	90.0	0	5881	IOH28691_MT1X	1.23333333333	3.50067533158	2.61058061348
SCYE1	IOH14549	112.0	93.0	0	5889	IOH14549_SCYE1	1.20430107527	3.01159535874	1.97835384394
MFGE8	IOH3899	252.0	100.0	0	5963	IOH3899_MFGE8	2.52	25.1759751648	19.9185918827
MFGE8	IOH3899	182.0	96.0	0	5964	IOH3899_MFGE8	1.89583333333	14.6612086006	19.9185918827
ASMTL	IOH3971	113.0	94.0	0	5968	IOH3971_ASMTL	1.20212765957	2.97498180679	2.26872566005
NUMBL	IOH4420	114.0	93.0	0	5980	IOH4420_NUMBL	1.22580645161	3.3738768201	1.9983393965
SERPINB2	IOH53975	117.0	97.0	0	6183	IOH53975_SERPINB2	1.20618556701	3.04334167237	3.39154344949
SERPINB2	IOH53975	126.0	101.0	0	6184	IOH53975_SERPINB2	1.24752475248	3.73974522662	3.39154344949
C4orf16	IOH12968	433.0	99.0	0	6434	IOH12968_C4orf16	4.37373737374	56.4041980051	28.203035227
ND	IOH14190	178.0	83.0	0	6469	IOH14190_ND	2.14457831325	18.8515884103	4.68183336366
TUBG1	IOH4241	93.0	79.0	0	6522	IOH4241_TUBG1	1.17721518987	2.55530415108	1.7996291614
ND	IOH13600	89.0	75.0	0	6530	IOH13600_ND	1.18666666667	2.71452456042	1.0328328366
IGKC	IOH63172	87.0	74.0	0	7075	IOH63172_IGKC	1.17567567568	2.5293693595	1.58958413411
BBS10	IOH10848	96.0	81.0	0	7236	IOH10848_BBS10	1.18518518519	2.68956739309	1.7614727327
C5orf28	IOH13312	100.0	84.0	0	8037	IOH13312_C5orf28	1.19047619048	2.77870013358	2.2773284683
C19orf10	IOH13900	106.0	88.0	0	8348	IOH13900_C19orf10	1.20454545455	3.01571219353	1.97841343742
FHOD1	IOH23282	110.0	89.0	0	8357	IOH23282_FHOD1	1.23595505618	3.54484110524	1.94024692583
MDH1	IOH59077	107.0	88.0	0	8610	IOH59077_MDH1	1.21590909091	3.20714501118	1.48317418705
ZNF643	IOH13099	114.0	96.0	0	8833	IOH13099_ZNF643	1.1875	2.72856296705	2.1912682804
COPZ1	IOH5427	116.0	98.0	0	9006	IOH5427_COPZ1	1.18367346939	2.6641008958	1.46080889914
2-Sep	IOH12083	113.0	95.0	0	9016	IOH12083_2-Sep	1.18947368421	2.76181182486	1.50966436367
ACYP2	IOH10544	132.0	99.0	0	9024	IOH10544_ACYP2	1.33333333333	5.18528412691	2.79875500019
MCM7	IOH12526	111.0	94.0	0	9033	IOH12526_MCM7	1.18085106383	2.61655440353	0.845501352125
DHDH	IOH21985	110.0	92.0	0	9142	IOH21985_DHDH	1.19565217391	2.8658952058	2.09530875504
MGC34800	IOH22740	110.0	92.0	0	9152	IOH22740_MGC34800	1.19565217391	2.8658952058	2.68278555414
ATOX1	IOH45502	133.0	102.0	0	9292	IOH45502_ATOX1	1.30392156863	4.68981095181	2.30002871839
SPATA5	IOH26167	120.0	94.0	0	9324	IOH26167_SPATA5	1.27659574468	4.22947771821	1.89969959701
IGL@	IOH63051	113.0	94.0	0	9491	IOH63051_IGL@	1.20212765957	2.97498180679	2.32533213838
IGKC	IOH63055	114.0	96.0	0	9495	IOH63055_IGKC	1.1875	2.72856296705	2.86823078809
IGKC	IOH63055	118.0	98.0	0	9496	IOH63055_IGKC	1.20408163265	3.00789860914	2.86823078809
PDGFB	IOH22794	102.0	86.0	0	11368	IOH22794_PDGFB	1.18604651163	2.7040773741	1.42744921725
HAVCR1	IOH12162	112.0	94.0	0	12039	IOH12162_HAVCR1	1.1914893617	2.79576810516	1.79069332488
ATXN3	IOH21762	113.0	95.0	0	12212	IOH21762_ATXN3	1.18947368421	2.76181182486	1.86778698172
RNASEH2B	IOH21857	144.0	96.0	0	12217	IOH21857_RNASEH2B	1.5	7.99296545245	5.60498906732
RNASEH2B	IOH21857	118.0	97.0	0	12218	IOH21857_RNASEH2B	1.21649484536	3.21701268219	5.60498906732
PTGDR	IOH26261	113.0	93.0	0	12255	IOH26261_PTGDR	1.21505376344	3.19273608942	1.93669431954
NRBP1	IOH4821	122.0	98.0	0	12379	IOH4821_NRBP1	1.24489795918	3.6954940358	2.78533482629
MGC2408	IOH10505	97.0	79.0	0	12834	IOH10505_MGC2408	1.22784810127	3.40827062972	2.32100163071
ALKBH8	IOH10820	94.0	78.0	0	12836	IOH10820_ALKBH8	1.20512820513	3.0255292611	2.1296309464
LZTFL1	IOH11001	90.0	76.0	0	12872	IOH11001_LZTFL1	1.18421052632	2.67314820405	1.98543678625
NDUFA3	IOH14726	91.0	77.0	0	12873	IOH14726_NDUFA3	1.18181818182	2.63284655823	1.83840036498
PSMA3	IOH23135	100.0	84.0	0	12958	IOH23135_PSMA3	1.19047619048	2.77870013358	2.29061783774
FLJ11184	IOH14099	94.0	80.0	0	12984	IOH14099_FLJ11184	1.175	2.51798686764	1.68367903071
C6orf1	IOH26982	95.0	80.0	0	13045	IOH26982_C6orf1	1.1875	2.72856296705	1.14924222143
COPE	IOH5090	102.0	83.0	0	13182	IOH5090_COPE	1.22891566265	3.42625486271	2.36943754615
SUMO1	IOH50126	94.0	80.0	0	13328	IOH50126_SUMO1	1.175	2.51798686764	2.49978893312
IL1RN	IOH57147	95.0	77.0	0	13385	IOH57147_IL1RN	1.23376623377	3.50796801035	2.38124914074
ASAHL	IOH40605	90.0	76.0	0	13506	IOH40605_ASAHL	1.18421052632	2.67314820405	0.323606046113
DDI1	IOH10731	94.0	80.0	0	13644	IOH10731_DDI1	1.175	2.51798686764	1.14543662927
BCAP31	IOH53733	107.0	88.0	0	14173	IOH53733_BCAP31	1.21590909091	3.20714501118	2.16306602296
TSPAN4	IOH3497	97.0	82.0	0	14189	IOH3497_TSPAN4	1.18292682927	2.65152293068	0.914837459604
ANTXR1	IOH42103	103.0	87.0	0	14847	IOH42103_ANTXR1	1.18390804598	2.66805259366	1.39975516729
RAP1GDS1	IOH63293	104.0	88.0	0	15069	IOH63293_RAP1GDS1	1.18181818182	2.63284655823	1.10138401702
M6PRBP1	IOH6849	117.0	98.0	0	15264	IOH6849_M6PRBP1	1.19387755102	2.83599975247	1.63270775581
YAP1	IOH26027	112.0	94.0	0	15756	IOH26027_YAP1	1.1914893617	2.79576810516	1.72626698253
FLJ10781	IOH12539	91.0	77.0	0	16142	IOH12539_FLJ10781	1.18181818182	2.63284655823	1.62132500323
PEPD	IOH25815	107.0	90.0	0	17040	IOH25815_PEPD	1.18888888889	2.75196031143	1.81606653625
ZNF205	IOH5404	100.0	85.0	0	17180	IOH5404_ZNF205	1.17647058824	2.54276052639	1.35016811657
SSX2	IOH25774	100.0	85.0	0	17817	IOH25774_SSX2	1.17647058824	2.54276052639	1.43490477533
BAG4	IOH28649	100.0	85.0	0	17858	IOH28649_BAG4	1.17647058824	2.54276052639	1.24997419597
TGM1	IOH22155	103.0	86.0	0	17944	IOH22155_TGM1	1.1976744186	2.89996211774	2.26442494948
OCIAD1	IOH3035	99.0	84.0	0	18757	IOH3035_OCIAD1	1.17857142857	2.57815146747	1.07403647164
